id,active_search_condition,session_started,session_ended,session_duration_minutes,q1,q2,q3,q4,q5,q6,q7,q8,comments,technical_issues,age,sex,education
T2jkw-sDvoBLWJWDJ7zJTw,control,2020-09-10 16:01:32,2020-09-10 16:16:12,14.666666666666666,1.0,5.0,5.0,2.0,,,,,"The system was quite simple to use. I wouldn't want to have to do something like this all the time, but I imagine an actual annalist would enjoy it immensely. ",False,33,male,highschool
9gpKpL2nWUcfz8mxAh0Xzw,control,2020-09-10 16:02:13,2020-09-10 16:12:48,10.583333333333334,4.0,4.0,4.0,2.0,,,,,,False,29,male,highschool
UzXgncdrALjAjrxyveyLrA,greedy,2020-09-10 16:02:42,2020-09-10 16:13:44,11.033333333333333,3.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,None. Thank you. ,False,31,male,highschool
4ffSoA9uBjbb6IiECmA6bA,control,2020-09-10 16:02:50,2020-09-10 16:13:16,10.433333333333334,4.0,5.0,5.0,2.0,,,,,,False,26,male,bachelors
zuHD08T_ba4T2Gjp96aXhA,control,2020-09-10 16:03:21,2020-09-10 16:13:50,10.483333333333333,2.0,4.0,4.0,2.0,,,,,,False,36,male,bachelors
m35vlecXWMm32D157_1SFw,greedy,2020-09-10 16:03:45,2020-09-10 16:15:50,12.083333333333334,2.0,4.0,4.0,2.0,2.0,2.0,5.0,5.0,,False,43,female,highschool
Nq4mKs5hJ8Dc063VT1f3qg,control,2020-09-10 16:03:56,2020-09-10 16:15:11,11.25,3.0,4.0,4.0,2.0,,,,,,False,30,male,highschool
MmnvXyPd-cyyKRhtUwKqhQ,control,2020-09-10 16:04:51,2020-09-10 16:17:17,12.433333333333334,1.0,1.0,2.0,2.0,,,,,,False,34,male,associate
JjcI7g84OpS3dppwczTegw,control,2020-09-10 16:05:55,2020-09-10 16:15:59,10.066666666666666,2.0,4.0,5.0,2.0,,,,,"I really wish that the system was more responsive when I hovered over objects. If it could open and close the windows faster and have a hotkey to add to a bookmark, I could have moved much faster through the task. ",False,38,male,bachelors
mJPpcH_KAPivl65Hmq_R1Q,greedy,2020-09-10 16:07:14,2020-09-10 16:21:22,14.133333333333333,3.0,4.0,4.0,2.0,2.0,1.0,3.0,5.0,"Trying to select a certain node out of a grouping was a little harder than I expected, but wasn't that big of a deal.",False,30,male,highschool
3BgluksNw7LMIzSlCIQ03A,control,2020-09-10 16:10:10,2020-09-10 16:21:42,11.533333333333333,4.0,4.0,5.0,2.0,,,,,,False,34,male,bachelors
w3wvq5o6qqajfpLRsKR_-w,control,2020-09-10 16:14:25,2020-09-10 16:25:45,11.333333333333334,5.0,4.0,4.0,2.0,,,,,,False,30,male,highschool
AT2Ml2hfcNEsk7sZy_QHqw,control,2020-09-10 16:16:56,2020-09-10 16:18:25,1.4833333333333334,5.0,2.0,5.0,2.0,,,,,,False,53,female,masters
sy8HjGfNzVj1cjblJSY22Q,control,2020-09-10 16:20:40,2020-09-10 16:32:14,11.566666666666666,4.0,4.0,4.0,2.0,,,,,,False,33,male,highschool
VhgZ5EbLfzE22Iw2tVfE9A,greedy,2020-09-10 16:21:23,2020-09-10 16:32:55,11.533333333333333,5.0,5.0,4.0,2.0,1.0,1.0,4.0,5.0,It was interesting,False,40,male,masters
y8og7vrDFCRp4730ewy5og,control,2020-09-10 16:21:48,2020-09-10 16:32:37,10.816666666666666,4.0,4.0,2.0,2.0,,,,,,False,48,female,bachelors
pSEODcY6AnYvn02J9GGdcg,control,2020-09-10 16:24:03,2020-09-10 16:36:04,12.016666666666667,3.0,5.0,4.0,2.0,,,,,,False,39,male,highschool
KC0H25pMHmZWuX8C6Sx-_g,greedy,2020-09-10 16:24:51,2020-09-10 16:34:58,10.116666666666667,4.0,4.0,4.0,2.0,1.0,1.0,4.0,5.0,,False,27,female,bachelors
EV9n2qVr2U2ES5bI-Cdyhg,greedy,2020-09-10 16:25:43,2020-09-10 16:39:35,13.866666666666667,4.0,4.0,4.0,2.0,1.0,1.0,5.0,5.0,,False,24,female,doctorate
U7Pma3fUpC72WNzsPyaY7Q,control,2020-09-10 16:26:46,2020-09-10 16:37:14,10.466666666666667,2.0,4.0,4.0,2.0,,,,,,False,27,male,highschool
m93gPa6QBwovlafBAy7edQ,greedy,2020-09-10 16:27:14,2020-09-10 16:37:34,10.333333333333334,3.0,4.0,5.0,2.0,3.0,2.0,3.0,5.0,I had to review the instructions twice.  I found it pretty easy to use the system once I understood exactly what I was doing.  Most of the time people get sick from being around other people.  It was easy to find clusters of sick people once you knew where a single sick person could be found.,False,37,male,bachelors
HrEpGdg2fgOR7zYhlElElw,control,2020-09-10 16:28:10,2020-09-10 16:38:46,10.6,3.0,4.0,4.0,2.0,,,,,,False,40,female,masters
ykgZOJHZlLka4fBLn89ZGg,control,2020-09-10 16:28:18,2020-09-10 16:38:25,10.116666666666667,4.0,4.0,4.0,2.0,,,,,,False,20,male,highschool
QVknIlaxajN5eM1CrZB-JA,control,2020-09-10 16:28:29,2020-09-10 16:42:03,13.566666666666666,4.0,4.0,4.0,2.0,,,,,"I had a sort of glitch - when I would hover over a dot, the text box would show up for a split second then the screen would shift slightly and it would be gone.  It made it impossible to read all of the text or bookmark them.  ",False,44,female,associate
aDbzRAWuqzHLqD8l7uEwpg,control,2020-09-10 16:29:24,2020-09-10 16:39:57,10.55,2.0,1.0,1.0,2.0,,,,,,False,28,male,masters
jDiIqd5LZb87Inn7328GMg,greedy,2020-09-10 16:29:35,2020-09-10 16:40:25,10.833333333333334,3.0,5.0,5.0,2.0,1.0,1.0,4.0,5.0,,False,35,male,bachelors
oPycB65p8Uap3bmy1yGo0A,greedy,2020-09-10 16:30:10,2020-09-10 16:42:21,12.183333333333334,4.0,5.0,5.0,2.0,1.0,1.0,4.0,5.0,,False,39,female,associate
MLO9Pl5OPHDvCVW3LuO1sg,greedy,2020-09-10 16:31:55,2020-09-10 16:43:17,11.366666666666667,2.0,4.0,4.0,2.0,1.0,1.0,4.0,5.0,,False,30,male,highschool
Xi8Tbn4gbexPQpZa5VGkUw,control,2020-09-10 16:32:13,2020-09-10 16:43:33,11.333333333333334,4.0,5.0,5.0,2.0,,,,,No additional comments.,False,59,female,highschool
riPuXirdQKONUOzAK2ZVPQ,control,2020-09-10 16:39:10,2020-09-10 16:53:35,14.416666666666666,2.0,2.0,3.0,2.0,,,,,It took so long to click on each point because of how small they were.  I couldn't figure out how to zoom in on the map. Can you include some practice trials if you post this experiment again?  I think it would really help to identify them more quickly.,False,49,female,bachelors
v2U_6Tu1C-lTvQJR9wHy2Q,greedy,2020-09-10 16:40:14,2020-09-10 16:50:53,10.65,5.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,,False,25,male,highschool
ZZxf0JnuVuacQmLQPThEBg,greedy,2020-09-10 16:40:57,2020-09-10 16:54:29,13.533333333333333,4.0,4.0,4.0,2.0,1.0,1.0,4.0,5.0,,False,43,female,bachelors
_VBPpE2K2iPmIupvUdU-zg,greedy,2020-09-10 16:41:35,2020-09-10 16:53:36,12.016666666666667,4.0,4.0,4.0,2.0,1.0,2.0,4.0,5.0,"Seemed easy to use, really.",False,30,male,bachelors
JYYB5x6oqkd0ZvWMJEVlhg,greedy,2020-09-10 16:43:50,2020-09-10 16:56:24,12.566666666666666,4.0,5.0,5.0,2.0,2.0,2.0,4.0,5.0,I thought the experiment was interesting and I had no technical problems everything worked well.,False,31,female,bachelors
6FdkeNiQYrM_ol2yVmmxYA,control,2020-09-10 16:44:16,2020-09-10 16:59:24,15.133333333333333,4.0,4.0,4.0,2.0,,,,,,False,28,female,bachelors
GXaCM667o1nnMLifJ7MMMw,control,2020-09-10 16:44:26,2020-09-10 16:57:59,13.55,3.0,4.0,4.0,2.0,,,,,Thank you for the opportunity and bonus potential. I hope I did well.,False,29,male,highschool
-kwivBWYQno0uVHMp4FPLA,control,2020-09-10 16:44:55,2020-09-10 16:56:19,11.4,2.0,1.0,2.0,2.0,,,,,,False,46,female,associate
xMyJyQ1GbKEJTsQIggEuGA,greedy,2020-09-10 16:45:06,2020-09-10 16:53:53,8.783333333333333,4.0,4.0,5.0,2.0,2.0,3.0,4.0,5.0,,False,27,male,bachelors
33ZLRYakyAgh7h2iFn1NOw,control,2020-09-10 16:45:28,2020-09-10 16:48:27,2.9833333333333334,4.0,3.0,5.0,2.0,,,,,Good,False,30,male,bachelors
OsR8tpHbiZDTgN_Fni1xvA,control,2020-09-10 16:47:26,2020-09-10 16:59:02,11.6,1.0,3.0,3.0,2.0,,,,,,False,44,female,bachelors
wSZ7_Au-lq0AvLyYHckErA,control,2020-09-10 16:47:42,2020-09-10 16:58:22,10.666666666666666,4.0,5.0,5.0,2.0,,,,,,False,31,female,bachelors
FyySgtJHe3bgGN1nAvmRlA,control,2020-09-10 16:47:53,2020-09-10 17:00:10,12.283333333333333,3.0,4.0,4.0,2.0,,,,,stay safe...,False,54,male,highschool
sIUlHrVUba449u2GUMASHA,control,2020-09-10 16:49:18,2020-09-10 17:00:04,10.766666666666667,2.0,4.0,4.0,2.0,,,,,,False,32,female,bachelors
